iter	Logloss
0	0.6284868097
1	0.5709125761
2	0.5247298224
3	0.4905862974
4	0.4577521175
5	0.429684854
6	0.4132887118
7	0.3916604808
8	0.3765564406
9	0.3700871109
10	0.3575904714
11	0.3462643486
12	0.3366456445
13	0.3303832787
14	0.3222112931
15	0.3113544001
16	0.3054106387
17	0.3028660813
18	0.2992197379
19	0.2914577109
20	0.2859781519
21	0.2795949506
22	0.2763189636
23	0.2738550881
24	0.2722564874
25	0.2642141574
26	0.2632072316
27	0.2611545938
28	0.2580490333
29	0.2546616262
30	0.2533919053
31	0.251762787
32	0.2493640481
33	0.2482119654
34	0.246835455
35	0.245583198
36	0.2438296279
37	0.2417223495
38	0.2405645337
39	0.2399581292
40	0.2383667169
41	0.2374427443
42	0.2369228209
43	0.2357116876
44	0.2348220472
45	0.2332830705
46	0.2315638107
47	0.2311839286
48	0.2296829224
49	0.2281589839
50	0.2270873186
51	0.225993184
52	0.2248174634
53	0.2232192376
54	0.2226048508
55	0.2217394437
56	0.2209953352
57	0.2182194925
58	0.2171106063
59	0.2161134268
60	0.2153926034
61	0.2135731251
62	0.2117373957
63	0.2101034925
64	0.208958929
65	0.2082918641
66	0.2065754929
67	0.2034808473
68	0.2022152057
69	0.2007156328
70	0.1974180365
71	0.195416004
72	0.1938015271
73	0.1932072281
74	0.1920065687
75	0.1910644267
76	0.1904897524
77	0.1895785911
78	0.1892191496
79	0.1887154111
80	0.1878711943
81	0.1861812393
82	0.1854322577
83	0.1842597565
84	0.1827144072
85	0.1818490993
86	0.1800843718
87	0.178995375
88	0.1779478106
89	0.17695847
90	0.1764530998
91	0.1759108395
92	0.1728502615
93	0.1721635499
94	0.1704550616
95	0.1699835937
96	0.1696233915
97	0.1688774748
98	0.1682087893
99	0.1667733826
100	0.165923951
101	0.1648746777
102	0.1643437292
103	0.1627297925
104	0.1621529243
105	0.1615043486
106	0.1609612834
107	0.1606891169
108	0.1600517317
109	0.1598566088
110	0.1586336786
111	0.1581865211
112	0.1573171009
113	0.1554959468
114	0.1540968349
115	0.1529563948
116	0.1523941569
117	0.1514076718
118	0.1508521593
119	0.1499460805
120	0.1487114636
121	0.1479995044
122	0.1476584638
123	0.1462973666
124	0.1441305304
125	0.1437574287
126	0.1428287043
127	0.1420342219
128	0.1413939702
129	0.1407674117
130	0.1402396605
131	0.1398084784
132	0.1389991452
133	0.1387329102
134	0.1385889549
135	0.1380146887
136	0.1374889881
137	0.1362058165
138	0.1352681618
139	0.1345762573
140	0.1343547733
141	0.1333145406
142	0.1328263255
143	0.1316996007
144	0.1312247701
145	0.1303359456
146	0.1297587687
147	0.1288564825
148	0.1283976053
149	0.128305358
150	0.1269497072
151	0.1262795663
152	0.1258376017
153	0.1254744337
154	0.1251368109
155	0.124397333
156	0.1232817545
157	0.1223222479
158	0.121503422
159	0.1208894101
160	0.1202066896
161	0.1191801722
162	0.1189875079
163	0.1186627294
164	0.1179140786
165	0.1178303316
166	0.1170032479
167	0.1165825397
168	0.1161961197
169	0.1149912156
170	0.1146857201
171	0.1143593099
172	0.1133422411
173	0.1130293256
174	0.1120299852
175	0.1113886751
176	0.1111767278
177	0.11057416
178	0.1105352633
179	0.1102560958
180	0.109914504
181	0.109320602
182	0.1087502827
183	0.1084479734
184	0.1076017501
185	0.1072623192
186	0.1067237964
187	0.1060663675
188	0.1056882274
189	0.1054336901
190	0.1046961195
191	0.1040789985
192	0.1038231932
193	0.1035150517
194	0.1030685116
195	0.1029147771
196	0.102611641
197	0.1025529872
198	0.1021913628
199	0.101956384
200	0.1019259326
201	0.1012992197
202	0.1012764859
203	0.100732208
204	0.100266429
205	0.09984734155
206	0.09962882334
207	0.09929293153
208	0.09911912025
209	0.09886786841
210	0.09830952242
211	0.09810761909
212	0.09760877576
213	0.09696016698
214	0.09670074551
215	0.09629878006
216	0.09610896028
217	0.09569936543
218	0.09518776601
219	0.09488662543
220	0.0943675179
221	0.09400373249
222	0.09347782245
223	0.09326297562
224	0.09303123827
225	0.09275388993
226	0.09247324508
227	0.0924005343
228	0.09231655584
229	0.09171673328
230	0.09151927309
231	0.09047886953
232	0.09013962057
233	0.08993145496
234	0.08976522898
235	0.08974175095
236	0.08930910805
237	0.08904119723
238	0.08841201474
239	0.08813815585
240	0.08773669204
241	0.08745369884
242	0.08739149502
243	0.08721512591
244	0.08682644574
245	0.08643007554
246	0.08632930028
247	0.08576532044
248	0.08518281286
249	0.08493911875
250	0.08455072524
251	0.08436149531
252	0.08410962055
253	0.08362773388
254	0.08340291481
255	0.08321030016
256	0.08315365852
257	0.08298376116
258	0.08270980306
259	0.08257962927
260	0.08207657434
261	0.08158528874
262	0.0810888103
263	0.08094893439
264	0.08077070754
265	0.08015186111
266	0.0799180345
267	0.07943217327
268	0.07906237916
269	0.07858219036
270	0.07814461372
271	0.07797711984
272	0.07773218541
273	0.07756188564
274	0.07754119697
275	0.07704197878
276	0.07686161306
277	0.07657451299
278	0.07632110574
279	0.07577432511
280	0.07513326303
281	0.07477471456
282	0.07436667426
283	0.07384899999
284	0.07383485474
285	0.07352365924
286	0.07338156728
287	0.07308250493
288	0.07283405899
289	0.07232103182
290	0.07217822874
291	0.07192156907
292	0.07153664297
293	0.07134292029
294	0.07125189125
295	0.07103584268
296	0.07094800541
297	0.07093426258
298	0.07076719317
299	0.07047108556
300	0.06989515448
301	0.06950805642
302	0.06931980773
303	0.06930436702
304	0.0692653656
305	0.06909244736
306	0.06907826903
307	0.06906414583
308	0.06873043149
309	0.06862981058
310	0.06828606335
311	0.068179544
312	0.06771501089
313	0.06755678916
314	0.06694046197
315	0.066826655
316	0.06668195008
317	0.0662832646
318	0.06597508998
319	0.06562374093
320	0.06537121018
321	0.06501987766
322	0.06469322491
323	0.06441326362
324	0.06403805617
325	0.06387346191
326	0.06353858441
327	0.06342731321
328	0.06314320096
329	0.06284399529
330	0.06233766589
331	0.06222909034
332	0.06195549055
333	0.06194212258
334	0.06190654997
335	0.06168518728
336	0.0615453224
337	0.06128248865
